BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cell_type_s	donorid_s	sample_type_s	source_name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN04262067	SRX1427857	11127	5208	SRR2920534	SRS1159252	GSM1937444	multipotent progenitor cell	7256	primary human blood cell from fresh sample	MPP	OTHER	<not provided>	PRJNA301969	GEO	public	0	PAIRED	other	GENOMIC	<not provided>	2015-11-17	Homo sapiens	ILLUMINA	2016-06-01	SRP066100	<not provided>	<not provided>	<not provided>
SAMN04262068	SRX1427858	4713	2322	SRR2920535	SRS1159251	GSM1937445	lymphoid-primed multipotent progenitor cell	7256	primary human blood cell from fresh sample	LMPP	OTHER	<not provided>	PRJNA301969	GEO	public	0	PAIRED	other	GENOMIC	<not provided>	2015-11-17	Homo sapiens	ILLUMINA	2016-06-01	SRP066100	<not provided>	<not provided>	<not provided>
SAMN04262069	SRX1427859	5231	2451	SRR2920536	SRS1159250	GSM1937446	common myeloid progenitor cell	7256	primary human blood cell from fresh sample	CMP	OTHER	<not provided>	PRJNA301969	GEO	public	0	PAIRED	other	GENOMIC	<not provided>	2015-11-17	Homo sapiens	ILLUMINA	2016-06-01	SRP066100	<not provided>	<not provided>	<not provided>
SAMN04262072	SRX1427860	2602	1281	SRR2920537	SRS1159249	GSM1937447	common myeloid progenitor cell	7256	primary human blood cell from fresh sample	CMP	OTHER	<not provided>	PRJNA301969	GEO	public	0	PAIRED	other	GENOMIC	<not provided>	2015-11-17	Homo sapiens	ILLUMINA	2016-06-01	SRP066100	<not provided>	<not provided>	<not provided>
SAMN04262073	SRX1427861	4361	2147	SRR2920538	SRS1159248	GSM1937448	granulocyte macrophage progenitor cell	7256	primary human blood cell from fresh sample	GMP	OTHER	<not provided>	PRJNA301969	GEO	public	0	PAIRED	other	GENOMIC	<not provided>	2015-11-17	Homo sapiens	ILLUMINA	2016-06-01	SRP066100	<not provided>	<not provided>	<not provided>
SAMN04262074	SRX1427862	4349	2123	SRR2920539	SRS1159247	GSM1937449	granulocyte macrophage progenitor cell	7256	primary human blood cell from fresh sample	GMP	OTHER	<not provided>	PRJNA301969	GEO	public	0	PAIRED	other	GENOMIC	<not provided>	2015-11-17	Homo sapiens	ILLUMINA	2016-06-01	SRP066100	<not provided>	<not provided>	<not provided>
SAMN04262075	SRX1427863	4087	2018	SRR2920540	SRS1159246	GSM1937450	megakaryocyte erythroid progenitor cell	7256	primary human blood cell from fresh sample	MEP	OTHER	<not provided>	PRJNA301969	GEO	public	0	PAIRED	other	GENOMIC	<not provided>	2015-11-17	Homo sapiens	ILLUMINA	2016-06-01	SRP066100	<not provided>	<not provided>	<not provided>
SAMN04262123	SRX1427864	3879	1923	SRR2920541	SRS1159245	GSM1937451	megakaryocyte erythroid progenitor cell	7256	primary human blood cell from fresh sample	MEP	OTHER	<not provided>	PRJNA301969	GEO	public	0	PAIRED	other	GENOMIC	<not provided>	2015-11-17	Homo sapiens	ILLUMINA	2016-06-01	SRP066100	<not provided>	<not provided>	<not provided>
SAMN04262124	SRX1427865	5555	2754	SRR2920542	SRS1159244	GSM1937452	CD14+ monocyte cell	7256	primary human blood cell from fresh sample	Mono	OTHER	<not provided>	PRJNA301969	GEO	public	0	PAIRED	other	GENOMIC	<not provided>	2015-11-17	Homo sapiens	ILLUMINA	2016-06-01	SRP066100	<not provided>	<not provided>	<not provided>
SAMN04262125	SRX1427866	7122	3485	SRR2920543	SRS1159243	GSM1937453	CD14+ monocyte cell	7256	primary human blood cell from fresh sample	Mono	OTHER	<not provided>	PRJNA301969	GEO	public	0	PAIRED	other	GENOMIC	<not provided>	2015-11-17	Homo sapiens	ILLUMINA	2016-06-01	SRP066100	<not provided>	<not provided>	<not provided>
